Site,Time Point,Agaricia Cover,Porites Cover
Coral Cay,T7,0,3
Coral Cay,T7,1,2
Coral Cay,T7,13,5
Coral Cay,T7,0,17
Coral Cay,T7,1,0
Hospital Point,T7,2,1
Hospital Point,T7,3,0
Hospital Point,T7,0,2
Hospital Point,T7,13,13
Hospital Point,T7,4,0
Hospital Point,T7,10,28
Hospital Point,T7,7,0
Hospital Point,T7,0,0
Hospital Point,T7,0,0
Hospital Point,T7,0,0
Hospital Point,T7,1,61
Mainland,T7,0,0
Mainland,T7,0,0
Mainland,T7,0,3
Mainland,T7,0,0
Mainland,T7,0,3
Mainland,T7,0,0
Mainland,T7,0,0
Mainland,T7,0,1
Mainland,T7,0,0
Mainland,T7,0,1
Mainland,T7,0,2
Pastores,T7,0,6
Pastores,T7,0,2
Pastores,T7,0,7
Pastores,T7,0,3
Pastores,T7,0,12
Pastores,T7,0,9
Pastores,T7,0,13
Pastores,T7,0,4
Pastores,T7,0,3
Pastores,T7,0,12
Pastores,T7,0,8
Popa,T7,3,4
Popa,T7,1,7
Popa,T7,3,0
Popa,T7,2,7
Popa,T7,6,3
Popa,T7,7,3
Popa,T7,5,3
Popa,T7,9,2
Popa,T7,2,2
Popa,T7,17,4
Popa,T7,1,5
Punta Juan,T7,12,4
Punta Juan,T7,0,20
Punta Juan,T7,5,3
Punta Juan,T7,4,18
Punta Juan,T7,0,1
Punta Juan,T7,0,1
Punta Juan,T7,1,0
Punta Juan,T7,2,1
Punta Juan,T7,0,9
Punta Juan,T7,0,33
Punta Juan,T7,14,38
Salt Creek,T7,3,9
Salt Creek,T7,20,19
Salt Creek,T7,9,1
Salt Creek,T7,2,8
Salt Creek,T7,38,4
Salt Creek,T7,2,2
Salt Creek,T7,5,2
Salt Creek,T7,7,11
Salt Creek,T7,0,1
Salt Creek,T7,0,4
Salt Creek,T7,12,0
STRI,T7,10,0
STRI,T7,0,2
STRI,T7,21,0
STRI,T7,14,0
STRI,T7,2,0
STRI,T7,1,0
STRI,T7,2,0
STRI,T7,39,0
STRI,T7,0,0
STRI,T7,8,0
Almirante,T8,38,0
Almirante,T8,12,0
Almirante,T8,50,0
Almirante,T8,12,0
Almirante,T8,20,0
Almirante,T8,46,0
Almirante,T8,14,0
Almirante,T8,6,0
Almirante,T8,26,4
Almirante,T8,6,0
Almirante,T8,10,2
Almirante,T8,28,0
Almirante,T8,32,0
Almirante,T8,42,0
Almirante,T8,50,0
Almirante,T8,42,4
Almirante,T8,46,0
Almirante,T8,32,0
Almirante,T8,28,0
Almirante,T8,14,0
Caracol,T8,0,36
Caracol,T8,0,4
Caracol,T8,0,4
Caracol,T8,0,10
Caracol,T8,2,4
Caracol,T8,0,34
Caracol,T8,0,38
Caracol,T8,0,0
Caracol,T8,0,20
Caracol,T8,0,2
Caracol,T8,0,2
Cayo Roldan,T8,2,0
Cayo Roldan,T8,0,2
Cayo Roldan,T8,4,10
Cayo Roldan,T8,6,2
Cayo Roldan,T8,10,2
Cayo Roldan,T8,18,0
Cayo Roldan,T8,0,4
Cayo Roldan,T8,0,0
Cayo Roldan,T8,0,6
Cayo Roldan,T8,14,0
Cayo Roldan,T8,10,2
Coral Cay,T8,0,14
Coral Cay,T8,0,6
Coral Cay,T8,6,24
Coral Cay,T8,2,8
Coral Cay,T8,4,18
Coral Cay,T8,2,2
Coral Cay,T8,0,2
Coral Cay,T8,0,6
Coral Cay,T8,2,2
Coral Cay,T8,0,16
Coral Cay,T8,0,2
Hospital Point,T8,0,8
Hospital Point,T8,0,28
Hospital Point,T8,0,10
Hospital Point,T8,0,36
Hospital Point,T8,0,26
Hospital Point,T8,2,26
Hospital Point,T8,4,2
Hospital Point,T8,26,0
Hospital Point,T8,0,0
Hospital Point,T8,0,0
Hospital Point,T8,6,38
Mainland,T8,0,2
Mainland,T8,0,6
Mainland,T8,0,12
Mainland,T8,0,16
Mainland,T8,0,16
Mainland,T8,0,0
Mainland,T8,0,2
Mainland,T8,0,0
Mainland,T8,0,0
Mainland,T8,0,2
Mainland,T8,0,0
Pastores,T8,0,0
Pastores,T8,0,0
Pastores,T8,0,0
Pastores,T8,0,2
Pastores,T8,0,0
Pastores,T8,0,2
Pastores,T8,0,0
Pastores,T8,0,10
Pastores,T8,0,58
Pastores,T8,0,36
Pastores,T8,0,14
Punta Juan,T8,30,0
Punta Juan,T8,0,2
Punta Juan,T8,0,0
Punta Juan,T8,2,4
Punta Juan,T8,22,2
Punta Juan,T8,0,2
Punta Juan,T8,0,16
Punta Juan,T8,2,0
Punta Juan,T8,0,8
Salt Creek,T8,6,0
Salt Creek,T8,8,0
Salt Creek,T8,8,0
Salt Creek,T8,16,0
Salt Creek,T8,6,0
Salt Creek,T8,10,0
Salt Creek,T8,2,0
Salt Creek,T8,6,0
Salt Creek,T8,42,0
Salt Creek,T8,0,0
Salt Creek,T8,14,0
STRI,T8,12,0
STRI,T8,22,0
STRI,T8,0,0
STRI,T8,20,0
STRI,T8,10,0
STRI,T8,4,0
STRI,T8,8,0
STRI,T8,12,0
STRI,T8,14,0
STRI,T8,4,0
Almirante,T9,0,0
Almirante,T9,0,0
Almirante,T9,2,0
Almirante,T9,0,0
Almirante,T9,0,0
Almirante,T9,0,0
Almirante,T9,0,0
Almirante,T9,0,0
Almirante,T9,0,0
Almirante,T9,0,0
Almirante,T9,0,6
Almirante,T9,0,0
Almirante,T9,0,0
Almirante,T9,0,0
Almirante,T9,0,2
Almirante,T9,0,0
Almirante,T9,0,0
Almirante,T9,0,0
Almirante,T9,0,0
Caracol,T9,0,24
Caracol,T9,0,0
Caracol,T9,0,2
Caracol,T9,0,2
Caracol,T9,0,12
Caracol,T9,0,28
Caracol,T9,0,10
Caracol,T9,0,2
Caracol,T9,0,2
Caracol,T9,0,2
Caracol,T9,0,4
Cayo Roldan,T9,0,4
Cayo Roldan,T9,0,2
Cayo Roldan,T9,0,4
Cayo Roldan,T9,0,6
Cayo Roldan,T9,0,2
Cayo Roldan,T9,0,0
Cayo Roldan,T9,0,8
Cayo Roldan,T9,0,10
Cayo Roldan,T9,0,4
Cayo Roldan,T9,0,2
Cayo Roldan,T9,0,0
Coral Cay,T9,0,0
Coral Cay,T9,0,8
Coral Cay,T9,12,0
Coral Cay,T9,4,16
Coral Cay,T9,12,0
Coral Cay,T9,0,8
Coral Cay,T9,0,2
Coral Cay,T9,0,0
Coral Cay,T9,4,4
Coral Cay,T9,0,2
Coral Cay,T9,0,2
Coral Cay,T9,0,0
Hospital Point,T9,0,6
Hospital Point,T9,0,10
Hospital Point,T9,0,6
Hospital Point,T9,0,18
Hospital Point,T9,0,6
Hospital Point,T9,0,4
Hospital Point,T9,0,0
Hospital Point,T9,0,0
Hospital Point,T9,0,0
Hospital Point,T9,0,0
Hospital Point,T9,0,0
Mainland,T9,0,4
Mainland,T9,0,4
Mainland,T9,0,10
Mainland,T9,0,4
Mainland,T9,0,2
Mainland,T9,0,0
Mainland,T9,0,2
Mainland,T9,0,0
Mainland,T9,0,2
Mainland,T9,0,0
Mainland,T9,0,0
Pastores,T9,0,0
Pastores,T9,0,2
Pastores,T9,0,0
Pastores,T9,0,0
Pastores,T9,0,2
Pastores,T9,0,2
Pastores,T9,0,0
Pastores,T9,0,4
Pastores,T9,0,0
Pastores,T9,0,0
Pastores,T9,0,2
Popa,T9,0,4
Popa,T9,0,0
Popa,T9,0,4
Popa,T9,0,6
Popa,T9,0,4
Popa,T9,0,0
Popa,T9,2,4
Popa,T9,0,0
Popa,T9,0,6
Popa,T9,0,8
Punta Juan,T9,0,18
Punta Juan,T9,8,62
Punta Juan,T9,8,8
Punta Juan,T9,12,2
Punta Juan,T9,4,4
Punta Juan,T9,0,6
Punta Juan,T9,2,0
Punta Juan,T9,4,4
Punta Juan,T9,24,0
Punta Juan,T9,6,0
Punta Juan,T9,0,2
Punta Juan,T9,0,0
Punta Juan,T9,0,0
Salt Creek,T9,0,0
Salt Creek,T9,2,0
Salt Creek,T9,0,0
Salt Creek,T9,2,0
Salt Creek,T9,0,0
Salt Creek,T9,0,0
Salt Creek,T9,0,0
Salt Creek,T9,0,0
Salt Creek,T9,2,0
Salt Creek,T9,0,0
Salt Creek,T9,2,
STRI,T9,2,
STRI,T9,12,
STRI,T9,2,
STRI,T9,0,
STRI,T9,0,
STRI,T9,0,
STRI,T9,0,
STRI,T9,0,
STRI,T9,0,
STRI,T9,0,
