Site,Time Point,Calcifiers Cover
Hospital Point,T6,58
Mainland,T6,20
Mainland,T6,20
Mainland,T6,20
Mainland,T6,14
Mainland,T6,28
Mainland,T6,30
Mainland,T6,34
Mainland,T6,18
Mainland,T6,22
Mainland,T6,20
Mainland,T6,64
Pastores,T6,0
Pastores,T6,0
Pastores,T6,8
Pastores,T6,4
Pastores,T6,8
Pastores,T6,0
Pastores,T6,4
Pastores,T6,6
Pastores,T6,0
Pastores,T6,16
Pastores,T6,2
Popa,T6,72
Popa,T6,26
Popa,T6,42
Popa,T6,76
Popa,T6,22
Popa,T6,66
Popa,T6,78
Popa,T6,58
Popa,T6,60
Popa,T6,56
Popa,T6,56
Popa,T6,50
Punta Juan,T6,26
Punta Juan,T6,14
Punta Juan,T6,68
Punta Juan,T6,44
Punta Juan,T6,36
Punta Juan,T6,42
Punta Juan,T6,52
Punta Juan,T6,58
Punta Juan,T6,64
Punta Juan,T6,74
Punta Juan,T6,66
Salt Creek,T6,56
Salt Creek,T6,60
Salt Creek,T6,32
Salt Creek,T6,50
Salt Creek,T6,30
Salt Creek,T6,64
Salt Creek,T6,18
Salt Creek,T6,82
Salt Creek,T6,40
Salt Creek,T6,62
STRI,T6,0
STRI,T6,10
STRI,T6,10
STRI,T6,22
STRI,T6,10
STRI,T6,2
STRI,T6,6
STRI,T6,4
STRI,T6,14
STRI,T6,2
Almirante,T7,30
Almirante,T7,41
Almirante,T7,29
Almirante,T7,25
Almirante,T7,14
Almirante,T7,56
Almirante,T7,21
Almirante,T7,28
Almirante,T7,19
Almirante,T7,14
Almirante,T7,2
Almirante,T7,29
Almirante,T7,36
Almirante,T7,29
Almirante,T7,48
Almirante,T7,20
Almirante,T7,36
Almirante,T7,28
Almirante,T7,8
Caracol,T7,8
Caracol,T7,0
Caracol,T7,0
Caracol,T7,36
Caracol,T7,18
Caracol,T7,4
Caracol,T7,3
Caracol,T7,0
Caracol,T7,2
Caracol,T7,10
Caracol,T7,36
Cayo Roldan,T7,66
Cayo Roldan,T7,46
Cayo Roldan,T7,41
Cayo Roldan,T7,42
Cayo Roldan,T7,37
Cayo Roldan,T7,48
Cayo Roldan,T7,77
Cayo Roldan,T7,32
Cayo Roldan,T7,2
Cayo Roldan,T7,27
Cayo Roldan,T7,32
Coral Cay,T7,7
Coral Cay,T7,25
Coral Cay,T7,14
Coral Cay,T7,34
Coral Cay,T7,36
Coral Cay,T7,89
Coral Cay,T7,19
Coral Cay,T7,19
Coral Cay,T7,47
Coral Cay,T7,84
Coral Cay,T7,85
Hospital Point,T7,11
Hospital Point,T7,3
Hospital Point,T7,91
Hospital Point,T7,18
Hospital Point,T7,39
Hospital Point,T7,26
Hospital Point,T7,24
Hospital Point,T7,18
Hospital Point,T7,16
Hospital Point,T7,45
Hospital Point,T7,57
Mainland,T7,26
Mainland,T7,25
Mainland,T7,23
Mainland,T7,29
Mainland,T7,3
Mainland,T7,40
Mainland,T7,35
Mainland,T7,65
Mainland,T7,36
Mainland,T7,28
Mainland,T7,63
Pastores,T7,0
Pastores,T7,1
Pastores,T7,4
Pastores,T7,0
Pastores,T7,3
Pastores,T7,1
Pastores,T7,3
Pastores,T7,2
Pastores,T7,1
Pastores,T7,6
Pastores,T7,2
Popa,T7,23
Popa,T7,22
Popa,T7,27
Popa,T7,41
Popa,T7,35
Popa,T7,36
Popa,T7,18
Popa,T7,32
Popa,T7,10
Popa,T7,36
Popa,T7,26
Punta Juan,T7,64
Punta Juan,T7,20
Punta Juan,T7,47
Punta Juan,T7,43
Punta Juan,T7,8
Punta Juan,T7,5
Punta Juan,T7,11
Punta Juan,T7,22
Punta Juan,T7,17
Punta Juan,T7,10
Punta Juan,T7,45
Salt Creek,T7,38
Salt Creek,T7,49
Salt Creek,T7,39
Salt Creek,T7,48
Salt Creek,T7,40
Salt Creek,T7,57
Salt Creek,T7,61
Salt Creek,T7,62
Salt Creek,T7,81
Salt Creek,T7,82
Salt Creek,T7,55
STRI,T7,52
STRI,T7,24
STRI,T7,43
STRI,T7,34
STRI,T7,24
STRI,T7,58
STRI,T7,12
STRI,T7,61
STRI,T7,1
STRI,T7,49
Almirante,T8,42
Almirante,T8,12
Almirante,T8,52
Almirante,T8,14
Almirante,T8,20
Almirante,T8,46
Almirante,T8,14
Almirante,T8,6
Almirante,T8,26
Almirante,T8,10
Almirante,T8,10
Almirante,T8,28
Almirante,T8,32
Almirante,T8,42
Almirante,T8,50
Almirante,T8,42
Almirante,T8,50
Almirante,T8,32
Almirante,T8,28
Almirante,T8,20
Caracol,T8,0
Caracol,T8,2
Caracol,T8,0
Caracol,T8,34
Caracol,T8,18
Caracol,T8,2
Caracol,T8,4
Caracol,T8,0
Caracol,T8,8
Caracol,T8,12
Caracol,T8,24
Cayo Roldan,T8,38
Cayo Roldan,T8,16
Cayo Roldan,T8,12
Cayo Roldan,T8,28
Cayo Roldan,T8,18
Cayo Roldan,T8,54
Cayo Roldan,T8,40
Cayo Roldan,T8,2
Cayo Roldan,T8,20
Cayo Roldan,T8,20
Cayo Roldan,T8,24
Coral Cay,T8,24
Coral Cay,T8,24
Coral Cay,T8,20
Coral Cay,T8,16
Coral Cay,T8,20
Coral Cay,T8,56
Coral Cay,T8,40
Coral Cay,T8,18
Coral Cay,T8,58
Coral Cay,T8,70
Coral Cay,T8,76
Hospital Point,T8,28
Hospital Point,T8,36
Hospital Point,T8,30
Hospital Point,T8,8
Hospital Point,T8,24
Hospital Point,T8,22
Hospital Point,T8,12
Hospital Point,T8,40
Hospital Point,T8,24
Hospital Point,T8,44
Hospital Point,T8,48
Mainland,T8,14
Mainland,T8,36
Mainland,T8,12
Mainland,T8,36
Mainland,T8,32
Mainland,T8,26
Mainland,T8,12
Mainland,T8,16
Mainland,T8,12
Mainland,T8,12
Mainland,T8,40
Pastores,T8,6
Pastores,T8,6
Pastores,T8,16
Pastores,T8,16
Pastores,T8,16
Pastores,T8,0
Pastores,T8,2
Pastores,T8,2
Pastores,T8,0
Pastores,T8,2
Pastores,T8,0
Punta Juan,T8,40
Punta Juan,T8,18
Punta Juan,T8,16
Punta Juan,T8,16
Punta Juan,T8,26
Punta Juan,T8,30
Punta Juan,T8,36
Punta Juan,T8,76
Punta Juan,T8,68
Salt Creek,T8,46
Salt Creek,T8,46
Salt Creek,T8,8
Salt Creek,T8,66
Salt Creek,T8,10
Salt Creek,T8,34
Salt Creek,T8,44
Salt Creek,T8,18
Salt Creek,T8,74
Salt Creek,T8,8
Salt Creek,T8,54
STRI,T8,12
STRI,T8,22
STRI,T8,8
STRI,T8,22
STRI,T8,10
STRI,T8,4
STRI,T8,8
STRI,T8,14
STRI,T8,16
STRI,T8,4
Almirante,T9,8
Almirante,T9,10
Almirante,T9,14
Almirante,T9,0
Almirante,T9,4
Almirante,T9,4
Almirante,T9,2
Almirante,T9,2
Almirante,T9,2
Almirante,T9,0
Almirante,T9,2
Almirante,T9,4
Almirante,T9,2
Almirante,T9,2
Almirante,T9,14
Almirante,T9,6
Almirante,T9,0
Almirante,T9,0
Almirante,T9,10
Caracol,T9,8
Caracol,T9,2
Caracol,T9,16
Caracol,T9,32
Caracol,T9,28
Caracol,T9,14
Caracol,T9,12
Caracol,T9,0
