Site,Time Point,Porites Cover
Salt Creek,T7,1
Salt Creek,T7,1
Salt Creek,T7,0
Salt Creek,T7,1
Salt Creek,T7,9
Salt Creek,T7,33
Salt Creek,T7,38
STRI,T7,9
STRI,T7,19
STRI,T7,1
STRI,T7,8
STRI,T7,4
STRI,T7,2
STRI,T7,2
STRI,T7,11
STRI,T7,1
STRI,T7,4
Almirante,T8,0
Almirante,T8,0
Almirante,T8,2
Almirante,T8,0
Almirante,T8,0
Almirante,T8,0
Almirante,T8,0
Almirante,T8,0
Almirante,T8,0
Almirante,T8,0
Almirante,T8,0
Almirante,T8,0
Almirante,T8,0
Almirante,T8,0
Almirante,T8,0
Almirante,T8,0
Almirante,T8,0
Almirante,T8,0
Almirante,T8,0
Almirante,T8,4
Caracol,T8,0
Caracol,T8,2
Caracol,T8,0
Caracol,T8,0
Caracol,T8,0
Caracol,T8,0
Caracol,T8,4
Caracol,T8,0
Caracol,T8,0
Caracol,T8,0
Caracol,T8,0
Cayo Roldan,T8,36
Cayo Roldan,T8,4
Cayo Roldan,T8,4
Cayo Roldan,T8,10
Cayo Roldan,T8,4
Cayo Roldan,T8,34
Cayo Roldan,T8,38
Cayo Roldan,T8,0
Cayo Roldan,T8,20
Cayo Roldan,T8,2
Cayo Roldan,T8,2
Coral Cay,T8,0
Coral Cay,T8,2
Coral Cay,T8,10
Coral Cay,T8,2
Coral Cay,T8,2
Coral Cay,T8,0
Coral Cay,T8,4
Coral Cay,T8,0
Coral Cay,T8,6
Coral Cay,T8,0
Coral Cay,T8,2
Hospital Point,T8,14
Hospital Point,T8,6
Hospital Point,T8,24
Hospital Point,T8,8
Hospital Point,T8,18
Hospital Point,T8,2
Hospital Point,T8,2
Hospital Point,T8,6
Hospital Point,T8,2
Hospital Point,T8,16
Hospital Point,T8,2
Mainland,T8,8
Mainland,T8,28
Mainland,T8,10
Mainland,T8,36
Mainland,T8,26
Mainland,T8,26
Mainland,T8,2
Mainland,T8,0
Mainland,T8,0
Mainland,T8,0
Mainland,T8,38
Pastores,T8,2
Pastores,T8,6
Pastores,T8,12
Pastores,T8,16
