Site,Time Point,Reef Builder Cover
Almirante,T7,40
Almirante,T7,26
Almirante,T7,24
Almirante,T7,11
Almirante,T7,56
Almirante,T7,15
Almirante,T7,25
Almirante,T7,18
Almirante,T7,10
Almirante,T7,1
Almirante,T7,27
Almirante,T7,31
Almirante,T7,29
Almirante,T7,43
Almirante,T7,18
Almirante,T7,35
Almirante,T7,27
Almirante,T7,8
Caracol,T7,8
Caracol,T7,0
Caracol,T7,0
Caracol,T7,36
Caracol,T7,18
Caracol,T7,4
Caracol,T7,3
Caracol,T7,0
Caracol,T7,2
Caracol,T7,10
Caracol,T7,36
Cayo Roldan,T7,64
Cayo Roldan,T7,43
Cayo Roldan,T7,35
Cayo Roldan,T7,37
Cayo Roldan,T7,37
Cayo Roldan,T7,44
Cayo Roldan,T7,77
Cayo Roldan,T7,31
Cayo Roldan,T7,1
Cayo Roldan,T7,24
Cayo Roldan,T7,26
Coral Cay,T7,5
Coral Cay,T7,17
Coral Cay,T7,13
Coral Cay,T7,33
Coral Cay,T7,31
Coral Cay,T7,85
Coral Cay,T7,19
Coral Cay,T7,18
Coral Cay,T7,45
Coral Cay,T7,73
Coral Cay,T7,80
Hospital Point,T7,10
Hospital Point,T7,3
Hospital Point,T7,91
Hospital Point,T7,18
Hospital Point,T7,39
Hospital Point,T7,25
Hospital Point,T7,24
Hospital Point,T7,18
Hospital Point,T7,16
Hospital Point,T7,45
Hospital Point,T7,57
Mainland,T7,22
Mainland,T7,23
Mainland,T7,18
Mainland,T7,29
Mainland,T7,1
Mainland,T7,38
Mainland,T7,34
Mainland,T7,60
Mainland,T7,30
Mainland,T7,23
Mainland,T7,61
Pastores,T7,0
Pastores,T7,0
Pastores,T7,3
Pastores,T7,0
Pastores,T7,3
Pastores,T7,0
Pastores,T7,0
Pastores,T7,1
Pastores,T7,0
Pastores,T7,1
Pastores,T7,2
Popa,T7,21
Popa,T7,18
Popa,T7,25
Popa,T7,38
Popa,T7,35
Popa,T7,36
Popa,T7,18
Popa,T7,29
Popa,T7,10
Popa,T7,32
Popa,T7,26
Punta Juan,T7,58
